"Step","resnet50_gelu","model: resnet50_gelu - eval_robust_top1__MIN","model: resnet50_gelu - eval_robust_top1__MAX","xcit_small_12_p16_224","model: xcit_small_12_p16_224 - eval_robust_top1__MIN","model: xcit_small_12_p16_224 - eval_robust_top1__MAX"
"41","42.169517517089844","42.169517517089844","42.169517517089844","36.53892135620117","36.53892135620117","36.53892135620117"
"42","42.36333084106445","42.36333084106445","42.36333084106445","36.70676040649414","36.70676040649414","36.70676040649414"
"43","42.47122573852539","42.47122573852539","42.47122573852539","36.752716064453125","36.752716064453125","36.752716064453125"
"44","42.4592399597168","42.4592399597168","42.4592399597168","37.44605255126953","37.44605255126953","37.44605255126953"
"45","42.20348358154297","42.20348358154297","42.20348358154297","37.390106201171875","37.390106201171875","37.390106201171875"
"46","42.37532043457031","42.37532043457031","42.37532043457031","37.625877380371094","37.625877380371094","37.625877380371094"
"47","42.57312774658203","42.57312774658203","42.57312774658203","37.765743255615234","37.765743255615234","37.765743255615234"
"48","42.884830474853516","42.884830474853516","42.884830474853516","38.36117172241211","38.36117172241211","38.36117172241211"
"49","43.116607666015625","43.116607666015625","43.116607666015625","38.72682189941406","38.72682189941406","38.72682189941406"
"50","42.67702865600586","42.67702865600586","42.67702865600586","38.80674362182617","38.80674362182617","38.80674362182617"
"51","42.68302536010742","42.68302536010742","42.68302536010742","38.77077865600586","38.77077865600586","38.77077865600586"
"52","43.04267883300781","43.04267883300781","43.04267883300781","39.196372985839844","39.196372985839844","39.196372985839844"
"53","42.91679763793945","42.91679763793945","42.91679763793945","39.91368103027344","39.91368103027344","39.91368103027344"
"54","43.02269744873047","43.02269744873047","43.02269744873047","39.76382827758789","39.76382827758789","39.76382827758789"
"55","42.9367790222168","42.9367790222168","42.9367790222168","40.32328796386719","40.32328796386719","40.32328796386719"
"56","42.96675109863281","42.96675109863281","42.96675109863281","40.784847259521484","40.784847259521484","40.784847259521484"
"57","42.76294708251953","42.76294708251953","42.76294708251953","40.87675857543945","40.87675857543945","40.87675857543945"
"58","42.79291915893555","42.79291915893555","42.79291915893555","40.8148193359375","40.8148193359375","40.8148193359375"
