point,seed,steps,loss
26,1,10,0.42838687
27,1,10,2.2312505
28,1,10,0.96821296
29,1,10,3.506543
30,1,10,2.0510283
31,1,10,5.6690655
0,1,50,0.5815539
1,1,50,0.9680069
2,1,50,1.3198719
3,1,50,0.07401442
4,1,50,3.1413624
5,1,50,1.2163943
6,1,50,0.13460188
7,1,50,4.4893894
8,1,50,0.12666973
9,1,50,5.8662567
10,1,50,1.0837432
11,1,50,2.726987
12,1,50,0.78061503
13,1,50,1.1675087
14,1,50,0.10986502
15,1,50,2.7182074
16,1,50,5.157925
17,1,50,3.3770967
18,1,50,4.011198
19,1,50,0.024334678
20,1,50,0.18784188
21,1,50,6.321607
22,1,50,2.3851984
23,1,50,0.02713345
24,1,50,3.0217695
25,1,50,5.4632864
26,1,50,0.74252784
27,1,50,2.3660402
28,1,50,1.0115347
29,1,50,3.5966244
30,1,50,2.2734613
31,1,50,5.8899813
0,1,100,0.59780204
1,1,100,0.97205293
2,1,100,1.3275853
3,1,100,0.058877043
4,1,100,3.1460176
5,1,100,1.1965189
6,1,100,0.12547374
7,1,100,4.5170345
8,1,100,0.12894444
9,1,100,5.8302994
10,1,100,1.0546337
11,1,100,2.7124174
12,1,100,0.7928164
13,1,100,1.1322914
14,1,100,0.11011157
15,1,100,2.534973
16,1,100,5.165755
17,1,100,3.3704584
18,1,100,4.024599
19,1,100,0.022275018
20,1,100,0.17732704
21,1,100,6.287547
22,1,100,2.449298
23,1,100,0.029792296
24,1,100,3.0368543
25,1,100,5.463359
26,1,100,0.7269753
27,1,100,2.371493
28,1,100,1.0030411
29,1,100,3.5836542
30,1,100,2.3008084
31,1,100,5.8597245
0,1,200,0.61689794
1,1,200,0.970618
2,1,200,1.3227654
3,1,200,0.086786225
4,1,200,3.1372442
5,1,200,1.2090288
6,1,200,0.13187505
7,1,200,4.485174
8,1,200,0.12378252
9,1,200,5.8657694
10,1,200,1.0880549
11,1,200,2.7142663
12,1,200,0.78578305
13,1,200,1.1845412
14,1,200,0.10926222
15,1,200,2.7607965
16,1,200,5.182434
17,1,200,3.3745062
18,1,200,4.0044117
19,1,200,0.024046592
20,1,200,0.18581063
21,1,200,6.3247013
22,1,200,2.4041972
23,1,200,0.027031261
24,1,200,3.0109105
25,1,200,5.4594126
26,1,200,0.75258255
27,1,200,2.3651931
28,1,200,1.0159816
29,1,200,3.5910208
30,1,200,2.2636032
31,1,200,5.877669
0,1,500,0.62045026
1,1,500,0.969838
2,1,500,1.3086693
3,1,500,0.08664004
4,1,500,3.1355886
5,1,500,1.2181547
6,1,500,0.13040425
7,1,500,4.4805126
8,1,500,0.12826346
9,1,500,5.861874
10,1,500,1.1059716
11,1,500,2.7115724
12,1,500,0.80140716
13,1,500,1.1907855
14,1,500,0.10985033
15,1,500,2.7767034
16,1,500,5.182863
17,1,500,3.3709998
18,1,500,4.0149326
19,1,500,0.024160374
20,1,500,0.18489131
21,1,500,6.330577
22,1,500,2.3998225
23,1,500,0.026899653
24,1,500,3.0206113
25,1,500,5.4574175
26,1,500,0.74894685
27,1,500,2.3588347
28,1,500,1.0204797
29,1,500,3.5878894
30,1,500,2.2793975
31,1,500,5.895707
0,2,1,0.16379735
1,2,1,0.33506873
2,2,1,0.8017358
3,2,1,0.036885154
4,2,1,1.9015421
5,2,1,0.1423761
6,2,1,0.06770083
7,2,1,1.6399621
8,2,1,0.0789613
9,2,1,5.0572844
10,2,1,0.4077504
11,2,1,1.5305241
12,2,1,0.099781215
13,2,1,0.24111062
14,2,1,0.045515552
15,2,1,0.61527485
16,2,1,2.6956444
17,2,1,2.4371536
18,2,1,1.1495374
19,2,1,0.01655026
20,2,1,0.08945548
21,2,1,3.0338545
22,2,1,0.27110323
23,2,1,0.02252673
24,2,1,2.1994941
25,2,1,3.733079
26,2,1,0.119469665
27,2,1,1.192649
28,2,1,0.53186613
29,2,1,3.0403893
30,2,1,0.67399436
31,2,1,3.3460076
0,2,2,0.17944212
1,2,2,0.39223528
2,2,2,0.8933804
3,2,2,0.03789253
4,2,2,2.0614502
5,2,2,0.19801404
6,2,2,0.07361912
7,2,2,1.8715019
8,2,2,0.08911734
9,2,2,5.197734
10,2,2,0.4789818
11,2,2,1.692663
12,2,2,0.11836237
13,2,2,0.29423147
14,2,2,0.049788367
15,2,2,0.7625425
16,2,2,3.0149221
17,2,2,2.5789664
18,2,2,1.573016
19,2,2,0.017577317
20,2,2,0.09837629
21,2,2,3.6398835
22,2,2,0.34204
23,2,2,0.023064407
24,2,2,2.3436055
25,2,2,3.9787362
26,2,2,0.14057383
27,2,2,1.3561053
28,2,2,0.5929482
29,2,2,3.1312423
30,2,2,0.80635464
31,2,2,3.7628686
